LSOA code (2011),la19nm,england_imd_rank,england_imd_decile,london_imd_rank,london_imd_decile,IDAOP_london_rank,IDAOP_london_decile,IDACI_london_rank,IDACI_london_decile,Income_london_rank,Income_london_decile,employment_london_rank,employment_london_decile,crime_london_rank,crime_london_decile,barriers_london_rank,barriers_london_decile,livingEnv_london_rank,livingEnv_london_decile,health_london_rank,health_london_decile,edu_london_rank,edu_london_decile,LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) rank - England,Index of Multiple Deprivation (IMD) decile - England,Index of Multiple Deprivation (IMD) rank rebased for London,Index of Multiple Deprivation (IMD) decile rebased for London,Index of Multiple Deprivation (IMD) quintile rebased for London
E01000555,Brent,17999,6,3086,7,"8,915",5,19779,8,16716,7,21705,7,9209,4,1647,4,10253,6,28753,9,26893,8,Brent 015C,E09000005,Brent,17999.0,6.0,3086.0,7.0,4.0
E01000556,Brent,7082,3,919,2,"4,302",3,6993,3,9206,4,13283,4,1672,1,628,2,2559,1,19547,5,16517,4,Brent 015D,E09000005,Brent,7082.0,3.0,919.0,2.0,1.0
E01000557,Brent,11719,4,1990,5,"6,945",5,9362,4,11453,5,12678,4,10080,4,1207,3,10575,6,14098,3,24693,7,Brent 015E,E09000005,Brent,11719.0,4.0,1990.0,5.0,3.0
E01000558,Brent,9694,3,1568,4,"6,448",4,12782,5,10555,4,9625,3,2654,1,1256,3,10120,6,19491,5,25424,7,Brent 015F,E09000005,Brent,9694.0,3.0,1568.0,4.0,2.0
E01000559,Brent,12685,4,2182,5,"4,700",3,10088,4,10907,5,15204,5,10173,4,1276,3,9939,6,16500,4,26347,8,Brent 018E,E09000005,Brent,12685.0,4.0,2182.0,5.0,3.0
E01000560,Brent,15170,5,2608,6,"14,644",7,13787,6,16020,7,15775,5,9069,4,1255,3,10451,6,24133,7,25820,7,Brent 023D,E09000005,Brent,15170.0,5.0,2608.0,6.0,3.0
E01000561,Brent,10941,4,1829,4,"6,291",4,9655,4,10083,4,11308,4,7070,3,894,2,13557,8,16440,4,27405,8,Brent 023E,E09000005,Brent,10941.0,4.0,1829.0,4.0,2.0
E01000562,Brent,23487,8,3851,8,"17,135",8,16807,7,17789,7,25690,8,20785,9,2388,5,15443,9,30956,10,29217,9,Brent 008A,E09000005,Brent,23487.0,8.0,3851.0,8.0,4.0
E01000563,Brent,25021,8,4038,9,"17,726",8,24950,9,23565,9,26441,9,12794,6,3482,8,14177,8,27472,8,30944,9,Brent 008B,E09000005,Brent,25021.0,8.0,4038.0,9.0,5.0
E01000564,Brent,16724,6,2882,6,"13,340",7,11018,5,14782,6,21092,7,23282,9,497,2,14221,8,28447,8,20720,5,Brent 013A,E09000005,Brent,16724.0,6.0,2882.0,6.0,3.0
E01000565,Brent,11437,4,1934,4,"5,583",4,9861,4,7858,3,11189,3,15425,7,1201,3,14814,8,22483,6,18249,4,Brent 013B,E09000005,Brent,11437.0,4.0,1934.0,4.0,2.0
E01000566,Brent,19130,6,3257,7,"17,387",8,19187,8,18816,8,26020,8,17724,8,913,2,13664,8,24662,7,22506,6,Brent 008C,E09000005,Brent,19130.0,6.0,3257.0,7.0,4.0
E01000567,Brent,15988,5,2768,6,"7,319",5,17853,7,13207,6,18158,6,14285,6,1193,3,14159,8,22626,6,25000,7,Brent 016A,E09000005,Brent,15988.0,5.0,2768.0,6.0,3.0
E01000568,Brent,19684,6,3352,7,"14,959",8,27037,9,30106,10,32186,10,17278,8,2,1,13999,8,24501,7,29003,9,Brent 008D,E09000005,Brent,19684.0,6.0,3352.0,7.0,4.0
E01000569,Brent,25177,8,4063,9,"13,726",7,22803,8,19935,8,30088,10,20368,9,2385,5,17798,9,29095,9,28797,9,Brent 008E,E09000005,Brent,25177.0,8.0,4063.0,9.0,5.0
E01000570,Brent,11328,4,1912,4,"7,452",5,19889,8,13513,6,13514,4,14870,7,86,1,14616,8,24464,7,16613,4,Brent 012A,E09000005,Brent,11328.0,4.0,1912.0,4.0,2.0
E01000571,Brent,12576,4,2157,5,"10,202",6,16345,7,12761,5,13481,4,4794,2,1534,4,10105,6,24274,7,22777,6,Brent 012B,E09000005,Brent,12576.0,4.0,2157.0,5.0,3.0
E01000572,Brent,21873,7,3655,8,"18,230",8,14947,6,17477,7,27123,9,25325,10,1114,3,17644,9,29892,9,25846,7,Brent 007A,E09000005,Brent,21873.0,7.0,3655.0,8.0,4.0
E01000573,Brent,20580,7,3485,8,"12,653",7,18545,7,16562,7,26361,9,14632,7,1887,4,13372,8,27180,8,26014,7,Brent 007B,E09000005,Brent,20580.0,7.0,3485.0,8.0,4.0
E01000574,Brent,23631,8,3874,9,"16,680",8,22573,8,22391,8,27653,9,23051,9,1712,4,13919,8,29172,9,25520,7,Brent 007C,E09000005,Brent,23631.0,8.0,3874.0,9.0,5.0
E01000575,Brent,16668,6,2872,6,"11,738",6,23141,9,19387,8,26996,9,10052,4,568,2,6297,3,29841,9,23435,7,Brent 007D,E09000005,Brent,16668.0,6.0,2872.0,6.0,3.0
E01000576,Brent,17462,6,2988,7,"12,606",7,20186,8,16510,7,19750,7,9667,4,1649,4,11433,7,28508,8,24198,7,Brent 012C,E09000005,Brent,17462.0,6.0,2988.0,7.0,4.0
E01000577,Brent,6835,3,853,2,"2,148",2,5398,2,5283,2,8280,2,22709,9,14,1,6827,4,23838,7,15415,3,Brent 007E,E09000005,Brent,6835.0,3.0,853.0,2.0,1.0
