FID,LSOA21CD,LSOA21NM,borough,mean_AI,MEDIAN_AI,MIN_AI,MAX_AI,MEAN_PTAL_,Shape_Leng,Shape__Area,Shape__Length
2533,E01002661,Hounslow 016D,Hounslow,11.2485077337,13.6022508215,2.17472839997,22.2842063157,3,2841.31152416,280347.096984863,2841.31152415872
2534,E01002662,Hounslow 017C,Hounslow,20.0712803616,16.9696082471,11.5064791107,37.2609989216,5,3117.42318414,244808.634429932,3117.42318414166
2535,E01002663,Hounslow 017D,Hounslow,17.6040001568,18.2248496843,10.23408753,21.1755622756,4,3217.65789223,172982.769767761,3217.65789222947
2536,E01002665,Hounslow 016E,Hounslow,9.98973936716,9.64444307547,7.70123146263,13.4924657194,2,2371.42993261,138873.14868927,2371.42993260765
2537,E01002666,Hounslow 021E,Hounslow,6.52136963129,6.54314926303,3.14188974016,12.0239441485,2,2795.20778179,254260.033798218,2795.2077817867
2538,E01002667,Hounslow 020A,Richmond upon Thames,5.80239279477,6.37416995463,0,9.96472101186,2,3944.40103276,377581.499404907,3944.40103276448
2539,E01002668,Hounslow 014A,Hounslow,8.71773157493,8.45351051074,5.76962949279,14.6352105344,2,4035.82766673,342877.844673157,4035.82766672714
2540,E01002669,Hounslow 014B,Hounslow,4.86911853521,4.27091109615,0,11.7607894843,1b,2753.64892974,308608.065681458,2753.64892973687
2541,E01002670,Hounslow 020B,Hounslow,4.56728305875,5.54467951949,0,8.49259299668,1b,3833.17131278,442758.364898682,3833.1713127838
2542,E01002671,Hounslow 020C,Richmond upon Thames,7.13302124604,6.99922012106,4.72003122698,9.97802930833,2,2897.31552279,239831.397018433,2897.31552278555
2543,E01002672,Hounslow 020D,Richmond upon Thames,5.81682920028,5.92275445149,2.78718747393,8.50106482763,2,3386.98307165,263828.021247864,3386.98307165265
2544,E01002673,Hounslow 020E,Richmond upon Thames,6.47028812474,6.19125600348,6.10728555947,7.00561492554,2,1396.26678041,55273.1723327637,1396.26678040943
2545,E01002674,Hounslow 012D,Hounslow,8.51999845683,8.37819210591,1.75353920794,13.7092158101,2,3109.53072553,285296.651428223,3109.53072552773
2546,E01002675,Hounslow 009A,Hounslow,8.09094919478,7.81570211474,4.98907256721,15.4954368636,2,3509.23897845,300594.728866577,3509.23897844786
2547,E01002676,Hounslow 012E,Hounslow,5.7456998198,5.64275170909,0,13.944904672,2,5342.66615625,952721.519943237,5342.66615625026
